Order_ID,Order_Date,Category,Product_Name,Quantity,Price,Sales,Region,Customer_Name,Payment_Method
AMZ101290,2024-12-06,Beauty & Personal Care,Hair Dryer,9.0,905.87,8152.83,east,Manoj Singh,UPI
AMZ100243,2023-10-21,Electronics,Mechanical Keyboard,6.0,3308.31,19849.86,,Pooja Sharma,Cash on Delivery
AMZ104997,2024-01-29,Toys & Games,Building Blocks Set,1.0,205.63,205.63,CENTRAL ,Deepak Singh,UPI
AMZ105249,2023-01-07,Electronics,Smart Watch,9.0,,,,Deepak Iyer,UPI
AMZ102716,2023-09-15,Electronics,Wireless Earbuds,6.0,4359.15,26154.9,East,Vivek Joshi,Credit Card
AMZ103333,2023-01-05,Grocery & Gourmet,Green Tea Pack,5.0,200.08,1000.4,central,Nikhil Kumar,Credit Card
AMZ103888,2023-11-06,Grocery & Gourmet,Honey 500g,10.0,823.78,8237.8,north,Nikhil Reddy,Net Banking
AMZ100193,2023-04-30,Beauty & Personal Care,Trimmer,9.0,294.44,2649.96,South,Zoya Chatterjee,Amazon Pay
AMZ100463,2024-09-13,Electronics,Wireless Earbuds,9.0,2573.46,23161.14, North,Aditya Kapoor,Debit Card
AMZ105352,2023-12-03,Furniture,Bedside Table,5.0,2229.36,11146.8, West,Farhan Sharma,Debit Card
AMZ105477,2024-09-26,Beauty & Personal Care,Perfume 100ml,8.0,701.74,5613.92,south,Aditya Verma,Cash on Delivery
AMZ102007,2024-02-26,Furniture,Bean Bag,10.0,,,CENTRAL ,Tanvi Pillai,Net Banking
AMZ101810,2023-08-18,Home & Kitchen,Bed Sheet Set,1.0,4624.93,4624.93,east,Imran Das,Amazon Pay
AMZ105687,2024-06-27,Electronics,Bluetooth Speaker,5.0,2701.25,13506.25,north,Sneha Nair,Cash on Delivery
AMZ100489,2023-04-25,Clothing,Winter Hoodie,10.0,1299.24,12992.4,west,Neha Bhatt,Debit Card
AMZ102993,2024-05-18,Office Products,Whiteboard Marker Set,6.0,821.13,4926.78,SOUTH,Sneha Sharma,Cash on Delivery
AMZ100898,2024-08-16,Office Products,Whiteboard Marker Set,8.0,912.45,7299.6,NORTH,Zoya Malhotra,Net Banking
AMZ102331,2023-03-05,Home & Kitchen,Bed Sheet Set,2.0,2102.91,4205.82,north,Isha Agarwal,Cash on Delivery
AMZ103190,2023-01-05,Sports & Fitness,Badminton Racket,1.0,1941.88,1941.88,central,Neha Verma,Amazon Pay
AMZ100659,2024-07-10,Clothing,Yoga Pants,9.0,592.47,5332.23,East,Yash Verma,UPI
AMZ103845,2023-07-23,Toys & Games,Building Blocks Set,2.0,229.26,458.52,west,Manoj Nair,Amazon Pay
AMZ103915,2024-01-28,Electronics,Portable SSD,10.0,5835.47,58354.7,,Suresh Kumar,Credit Card
AMZ101513,2023-03-16,Clothing,Formal Shirt,4.0,473.72,1894.88,east,Ananya Joshi,Cash on Delivery
AMZ104690,2024-12-02,Beauty & Personal Care,Perfume 100ml,6.0,587.38,3524.28, North,Arjun Nair,Credit Card
AMZ102357,2024-12-19,Sports & Fitness,Cricket Bat,7.0,2669.98,18689.86,South ,Farhan Nair,Credit Card
AMZ100749,2024-03-26,Home & Kitchen,Non-Stick Pan Set,8.0,3417.28,27338.24,,Farhan Das,Cash on Delivery
AMZ104536,2024-10-05,Furniture,Bookshelf,3.0,2114.0,6342.0, West,Deepak Iyer,Credit Card
AMZ104857,2023-02-26,Beauty & Personal Care,Lipstick Set,7.0,1838.78,12871.46,West,Deepak Gupta,
AMZ105052,2024-11-07,Clothing,Formal Shirt,2.0,2315.42,4630.84,EAST,Divya Menon,Credit Card
AMZ103478,2024-10-13,Office Products,Notebook Pack,7.0,325.88,2281.16,Central,Divya Gupta,Debit Card
AMZ101843,2024-11-20,Home & Kitchen,Blender,3.0,2264.01,6792.03,south,Anusha Joshi,Credit Card
AMZ104363,2023-08-27,Sports & Fitness,Yoga Mat,7.0,656.3,4594.1,East,Priya Agarwal,Cash on Delivery
AMZ104252,2024-05-26,Toys & Games,Board Game,8.0,1181.59,9452.72, North,Deepak Das,Cash on Delivery
AMZ102619,2024-08-24,Home & Kitchen,Vacuum Cleaner,4.0,1468.41,5873.64,East,Isha Sharma,Credit Card
AMZ100407,2024-10-25,Office Products,Printer Paper A4,1.0,725.91,725.91,EAST,Aditya Pillai,Net Banking
AMZ103268,2023-01-27,Office Products,Gel Pens Set,3.0,218.36,655.08,South ,Zoya Bhatt,UPI
AMZ105595,2023-06-19,Electronics,Smart Watch,4.0,3958.41,15833.64,west,Kavya Bhatt,UPI
AMZ100128,2023-07-03,Furniture,Office Chair,7.0,8905.11,62335.77,West,Pooja Kapoor,Net Banking
AMZ100420,2023-11-28,Grocery & Gourmet,Honey 500g,6.0,105.81,634.86,North,Priya Pillai,Cash on Delivery
AMZ100431,2024-08-20,Sports & Fitness,Yoga Mat,2.0,860.68,1721.36, West,Meera Das,Cash on Delivery
AMZ100617,2023-06-10,Sports & Fitness,Badminton Racket,6.0,2146.08,12876.48, West,Deepak Singh,UPI
AMZ103937,2023-12-12,Sports & Fitness,Cricket Bat,7.0,1668.05,11676.35,South,Nikhil Singh,Credit Card
AMZ102085,2024-10-15,Sports & Fitness,Resistance Bands,9.0,,,south,Sanjay Menon,Cash on Delivery
AMZ100453,2023-11-04,Beauty & Personal Care,Face Wash,10.0,1821.65,18216.5,east,Suresh Das,Credit Card
AMZ100929,2024-08-07,Electronics,Action Camera,3.0,3732.3,11196.9,west,,UPI
AMZ102835,2023-05-19,Books,Children's Story Book,6.0,184.39,1106.34,west,Suresh Verma,Debit Card
AMZ104800,2024-07-01,Beauty & Personal Care,Trimmer,6.0,1375.19,8251.14,North,Aditya Malhotra,UPI
AMZ103885,2024-09-13,Grocery & Gourmet,Cooking Oil 1L,6.0,371.53,2229.18,North,Karthik Joshi,Cash on Delivery
AMZ101387,2024-02-12,Toys & Games,Board Game,7.0,1386.02,9702.14,Central,Suresh Kumar,Net Banking
AMZ100217,2024-09-07,Electronics,Action Camera,6.0,5281.57,31689.42,central,Nikhil Sharma,Debit Card
AMZ101088,2023-05-06,Office Products,Stapler,2.0,532.14,1064.28,South,Yash Reddy,Debit Card
AMZ102553,2024-11-15,Furniture,Study Table,9.0,6272.35,56451.15, West,Rohan Chatterjee,Cash on Delivery
AMZ100973,2023-04-27,Sports & Fitness,Skipping Rope,4.0,1481.36,5925.44,north,Pooja Nair,UPI
AMZ101077,2023-01-05,Sports & Fitness,Cricket Bat,9.0,,, West,Anusha Iyer,Credit Card
AMZ103879,2023-09-12,Clothing,Denim Jacket,3.0,2355.32,7065.96,north,Kavya Sharma,Net Banking
AMZ103857,2024-04-22,Clothing,Casual Sneakers,3.0,2292.58,6877.74,,Imran Rao,Cash on Delivery
AMZ101279,2024-11-19,Home & Kitchen,Electric Kettle,6.0,2629.54,15777.24,East,Manoj Bhatt,
AMZ105164,2023-11-29,Toys & Games,Board Game,5.0,1449.45,7247.25,EAST,Aditya Patel,Credit Card
AMZ104721,2023-03-19,Grocery & Gourmet,Cooking Oil 1L,10.0,688.16,6881.6,east,Anusha Joshi,Cash on Delivery
AMZ104270,2023-09-26,Books,Biography,7.0,238.62,1670.34,west,Rahul Das,Amazon Pay
AMZ102243,2024-10-25,Furniture,Study Table,10.0,8812.9,88129.0,NORTH,Nikhil Iyer,Credit Card
AMZ101545,2023-09-10,Grocery & Gourmet,Honey 500g,10.0,232.23,2322.3,NORTH,Deepak Chatterjee,Credit Card
AMZ105188,2023-01-10,Electronics,Bluetooth Speaker,9.0,5953.44,53580.96,East,Deepak Chatterjee,Cash on Delivery
AMZ104803,2024-01-22,Toys & Games,Board Game,10.0,,,CENTRAL ,Yash Rao,UPI
AMZ104370,2024-02-17,Electronics,USB-C Cable,7.0,5313.44,37194.08, West,Suresh Menon,Credit Card
AMZ104778,2024-03-30,Sports & Fitness,Resistance Bands,9.0,1126.28,10136.52,east,Rohan Nair,UPI
AMZ104172,2023-01-12,Toys & Games,Board Game,4.0,744.1,2976.4,east,Priya Sharma,UPI
AMZ100741,2023-08-26,Electronics,USB-C Cable,7.0,2927.93,20495.51,NORTH,Neha Kapoor,Cash on Delivery
AMZ103690,2023-02-15,Clothing,Denim Jacket,,511.46,,East,Meera Agarwal,UPI
AMZ104597,2023-01-25,Books,Self-Help Book,8.0,701.41,5611.28,EAST,Kavya Kapoor,Debit Card
AMZ105098,2024-11-09,Office Products,Notebook Pack,8.0,556.15,4449.2,West,Deepak Bhatt,Net Banking
AMZ103199,2023-12-18,Clothing,Formal Shirt,1.0,2255.83,2255.83,South,Zoya Malhotra,Amazon Pay
AMZ100694,2023-05-05,Home & Kitchen,Blender,4.0,2514.06,10056.24,South,Isha Agarwal,UPI
AMZ105524,2023-07-28,Home & Kitchen,Blender,1.0,3038.89,3038.89,east,Nikhil Kapoor,Amazon Pay
AMZ102186,2023-05-22,Beauty & Personal Care,Hair Dryer,9.0,1332.91,11996.19,CENTRAL ,Karthik Verma,Debit Card
AMZ103686,2023-06-17,Clothing,Casual Sneakers,9.0,1160.45,10444.05, West,Shreya Malhotra,Net Banking
AMZ102639,2024-01-06,Grocery & Gourmet,Almonds 500g,9.0,478.98,4310.82,SOUTH,,Net Banking
AMZ100251,2023-01-27,Furniture,Study Table,2.0,12447.62,24895.24,EAST,Manoj Chatterjee,Cash on Delivery
AMZ101494,2024-07-09,Home & Kitchen,Bed Sheet Set,3.0,4650.24,13950.72,North,,Amazon Pay
AMZ103850,2024-08-14,Furniture,Study Table,8.0,12043.32,96346.56,east,Manoj Menon,Cash on Delivery
AMZ100343,2023-07-26,Office Products,Desk Organizer,3.0,453.68,1361.04,North,Tanvi Reddy,Cash on Delivery
AMZ104745,2023-05-23,Clothing,Denim Jacket,2.0,2369.38,4738.76,South,Divya Das,Debit Card
AMZ104290,2024-09-28,Sports & Fitness,Yoga Mat,7.0,1185.85,8300.95,South,Aditya Chatterjee,Net Banking
